Phone Model,Price,Website
Samsung Guru Music 2,"Rs. 1,625",Flipkart
Samsung Guru 1200,"Rs. 1,100",Flipkart
Samsung Guru Music 2,"Rs. 1,625",Flipkart
"Samsung Galaxy A30 (Blue, 64 GB)","Rs. 15,490",Flipkart
"Samsung Galaxy A30 (Black, 64 GB)","Rs. 15,490",Flipkart
Samsung Guru 1200,"Rs. 1,100",Flipkart
Samsung Guru FM Plus SM-B110E/D,"Rs. 1,375",Flipkart
"Samsung Galaxy A20 (Black, 32 GB)","Rs. 11,490",Flipkart
Samsung Guru 1200,"Rs. 1,100",Flipkart
Samsung Guru Music 2,"Rs. 1,625",Flipkart
"Samsung Galaxy A10 (Blue, 32 GB)","Rs. 7,990",Flipkart
"Samsung Galaxy M30 (Gradation Black, 64 GB)","Rs. 16,490",Flipkart
Samsung Guru FM Plus,"Rs. 1,375",Flipkart
"Samsung Galaxy A10 (Red, 32 GB)","Rs. 7,990",Flipkart
Samsung B351E/Metro 350,"Rs. 2,800",Flipkart
Samsung Metro 313 Dual Sim,"Rs. 2,025",Flipkart
"Samsung Galaxy M20 (Charcoal Black, 64 GB)","Rs. 13,390",Flipkart
"Samsung Galaxy M20 (Charcoal Black, 32 GB)","Rs. 10,945",Flipkart
"Samsung On7 Pro (Gold, 16 GB)","Rs. 6,700",Flipkart
Samsung Metro 313 Dual Sim,"Rs. 1,990",Flipkart
"Samsung Galaxy A20 (Red, 32 GB)","Rs. 11,490",Flipkart
Samsung Metro 313 Dual Sim,"Rs. 2,025",Flipkart
"Samsung Galaxy J4 Plus (Black, 32 GB)","Rs. 8,490",Flipkart
"Samsung Galaxy A2 Core (Blue, 16 GB)","Rs. 5,290",Flipkart
"Samsung Galaxy J6 ( 64GB , 4 GB ) Blue","Rs.  10,777",Snapdeal
Samsung EHS61 In Earphone Wired Headphone With Mic,Rs.  299,Snapdeal
"Samsung Galaxy M10 ( 16GB , 2 GB ) Black","Rs.  9,999",Snapdeal
Samsung Galaxy On Max (r) In Earphone Wired Headphone With Mic,Rs.  189,Snapdeal
"Samsung Galaxy J6 ( 64GB , 4 GB ) Black","Rs.  10,777",Snapdeal
"Samsung NA ( 32GB , 3 GB ) Black","Rs.  14,990",Snapdeal
