Phone Model,Price,Website
"Redmi Note 7 Pro (Space Black, 64 GB)","13,999",Flipkart
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","13,999",Flipkart
"Redmi Note 7S (Sapphire Blue, 32 GB)","10,999",Flipkart
"Redmi Note 7S (Onyx Black, 32 GB)","10,999",Flipkart
"Redmi Note 7 Pro (Nebula Red, 64 GB)","13,999",Flipkart
"Redmi Note 7 Pro (Space Black, 128 GB)","16,999",Flipkart
"Redmi Note 7S (Ruby Red, 32 GB)","10,999",Flipkart
"Redmi 6 (Black, 64 GB)","7,499",Flipkart
"Redmi 6 (Gold, 64 GB)","7,499",Flipkart
"Redmi 6 (Rose Gold, 64 GB)","7,499",Flipkart
"Mi 20000 mAh Power Bank (PLM06ZM,  2i)","1,499",Flipkart
"Redmi Go (Blue, 16 GB)","4,799",Flipkart
"Redmi 6 (Blue, 64 GB)","7,499",Flipkart
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","16,999",Flipkart
"Redmi Note 7 Pro (Nebula Red, 128 GB)","16,999",Flipkart
"Redmi Note 6 Pro (Red, 64 GB)","11,999",Flipkart
"Redmi Y2 (Black, 32 GB)","7,999",Flipkart
"Redmi Note 5 Pro (Gold, 64 GB)","11,999",Flipkart
"Redmi Note 6 Pro (Black, 64 GB)","13,999",Flipkart
"Redmi Go (Black, 16 GB)","4,799",Flipkart
"Redmi Go (Black, 8 GB)","4,499",Flipkart
"Mi 10000 mAh Power Bank (PLM09ZM,  2i)",899,Flipkart
"Redmi Y2 (Gold, 32 GB)","7,999",Flipkart
"Redmi 6A (Gold, 32 GB)","6,740",Flipkart
Redmi Red Y3 32 MB,"Rs.  11,299",Snapdeal
"Redmi 6 PRO ( 64GB , 4 GB ) Blue","Rs.  10,794",Snapdeal
"Redmi 6 PRO ( 64GB , 4 GB ) Red","Rs.  10,980",Snapdeal
"Redmi 6A 2GB ( 16GB , 2 GB ) Rose Gold","Rs.  6,573",Snapdeal
"Redmi 6A 2GB ( 16GB , 2 GB ) Black","Rs.  6,517",Snapdeal
"Redmi 6A 2GB ( 16GB , 2 GB ) Blue","Rs.  7,056",Snapdeal
"Redmi 5A ( 16GB , 2 GB ) Golden","Rs.  6,999",Snapdeal
"Redmi Redmi 5A ( 16GB , 2 GB ) Gold","Rs.  6,140",Snapdeal
"Redmi Note 5 Pro 4 ( 64GB , 4 GB ) Gold","Rs.  12,159",Snapdeal
"Redmi 5A 2GB ( 16GB , 2 GB ) Gray","Rs.  6,495",Snapdeal
"Redmi A1 ( 64GB , 4 GB ) Black","Rs.  12,999",Snapdeal
"Redmi redmi note 4 ( 32GB , 3 GB ) Gold","Rs.  8,999",Snapdeal
"Redmi note 4 ( 32GB , 3 GB ) Grey","Rs.  10,999",Snapdeal
"Redmi REDMI 6 ( 32GB , 3 GB ) Black","Rs.  8,999",Snapdeal
"Redmi 6 PRO ( 64GB , 4 GB ) Black","Rs.  10,995",Snapdeal
