Phone Model,Price,Website
"Redmi Note 7 (Sapphire Blue, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Ruby Red, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Onyx Black, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Onyx Black, 64 GB)","11,999",Flipkart
"Redmi Note 7 (Sapphire Blue, 64 GB)","11,999",Flipkart
"Redmi Note 7 (Ruby Red, 64 GB)","11,999",Flipkart
"Redmi Note 5 Pro (Gold, 64 GB)","13,999",Flipkart
"Redmi Note 6 Pro (Red, 64 GB)","11,999",Flipkart
"Redmi Note 6 Pro (Black, 64 GB)","13,999",Flipkart
"Redmi Note 6 Pro (Blue, 64 GB)","13,999",Flipkart
"Redmi Note 6 Pro (Blue, 64 GB)","11,999",Flipkart
"Redmi Note 6 Pro (Black, 64 GB)","11,999",Flipkart
"Redmi Note 5 Pro (Black, 64 GB)","12,490",Flipkart
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","13,999",Flipkart
"Redmi Note 7 Pro (Space Black, 64 GB)","13,999",Flipkart
"Redmi Note 7S (Sapphire Blue, 32 GB)","10,999",Flipkart
"Redmi Note 7 Pro (Space Black, 128 GB)","16,999",Flipkart
"Redmi Note 7S (Onyx Black, 32 GB)","10,999",Flipkart
"Redmi Note 7 Pro (Nebula Red, 64 GB)","13,999",Flipkart
"Redmi Note 5 Pro (Gold, 64 GB)","11,949",Flipkart
"Redmi Note 5 Pro (Black, 64 GB)","13,990",Flipkart
"Redmi Note 6 Pro (Rose Gold, 64 GB)","11,999",Flipkart
"Redmi Note 5 (Rose Gold, 32 GB)","9,999",Flipkart
"Redmi Note 5 (Black, 64 GB)","10,999",Flipkart
