Phone Model,Price,Website
"Redmi Note 7 (Ruby Red, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Sapphire Blue, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Onyx Black, 32 GB)","9,999",Flipkart
"Redmi Note 7 (Onyx Black, 64 GB)","11,999",Flipkart
"Redmi Note 7 (Ruby Red, 64 GB)","11,999",Flipkart
"Redmi Note 7 (Sapphire Blue, 64 GB)","11,999",Flipkart
"Redmi Note 7 Pro (Space Black, 64 GB)","13,999",Flipkart
"Redmi Note 5 Pro (Gold, 64 GB)","11,999",Flipkart
"Redmi Note 6 Pro (Red, 64 GB)","11,999",Flipkart
"Redmi Note 6 Pro (Black, 64 GB)","13,999",Flipkart
"Redmi Note 6 Pro (Blue, 64 GB)","13,999",Flipkart
"Redmi Note 6 Pro (Black, 64 GB)","11,999",Flipkart
"Redmi Note 5 Pro (Gold, 64 GB)","11,990",Flipkart
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","13,999",Flipkart
"Redmi Note 7 Pro (Nebula Red, 64 GB)","13,999",Flipkart
"Redmi Note 7 Pro (Space Black, 128 GB)","16,999",Flipkart
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","16,999",Flipkart
"Redmi Note 7 Pro (Nebula Red, 128 GB)","16,999",Flipkart
"Redmi Note 7S (Sapphire Blue, 32 GB)","10,999",Flipkart
"Redmi Note 7S (Onyx Black, 32 GB)","10,999",Flipkart
"Redmi Note 5 Pro (Black, 64 GB)","12,490",Flipkart
"Redmi Note 5 (Gold, 32 GB)","9,399",Flipkart
"Redmi Note 5 Pro (Black, 64 GB)","13,990",Flipkart
"Redmi Note 6 Pro (Rose Gold, 64 GB)","11,999",Flipkart
"Redmi Note 7 ( 32GB , 3 GB ) Onyx Black","Rs.  11,219",Snapdeal
"Redmi Note 7 ( 32GB , 3 GB ) Sapphire Blue","Rs.  10,982",Snapdeal
"Redmi Note 7 ( 32GB , 3 GB ) Red","Rs.  11,086",Snapdeal
"Redmi Note 7s ( 32 MB , 3 GB ) Black","Rs.  11,999",Snapdeal
"Redmi Note 7s ( 32 MB , 3 GB ) Blue","Rs.  11,999",Snapdeal
"Redmi Note 7s ( 32 MB , 3 GB ) Blue","Rs.  11,999",Snapdeal
"Redmi Note 7 Pro+SelfieStk ( 128GB , 6 GB ) Blue","Rs.  19,999",Snapdeal
"Redmi Note 7 Pro+SelfieStk ( 128GB , 6 GB ) Black","Rs.  19,999",Snapdeal
"Redmi Note 7s ( 64 MB , 4 GB ) Red","Rs.  13,999",Snapdeal
"Redmi Note 7s ( 64 MB , 4 GB ) Black","Rs.  13,999",Snapdeal
"Xiaomi Redmi Note 7S (Ruby Red, 32 GB, 3 GB RAM)","11,499.00",Croma
"Xiaomi Redmi Note 7 Pro (Blue, 64 GB, 4 GB RAM)","14,499.00",Croma
"Xiaomi Redmi Note 7 Pro (Black, 128 GB, 6 GB RAM)","17,499.00",Croma
"Xiaomi Redmi Note 7 Pro (Black, 64 GB, 4 GB RAM)","14,499.00",Croma
"Xiaomi Redmi Note 7 (Onyx Black, 64 GB, 4 GB RAM)","12,499.00",Croma
"Xiaomi Redmi Note 7 (Ruby Red, 64 GB, 4 GB RAM)","12,499.00",Croma
"Xiaomi Redmi Note 7 (Sapphire Blue, 64 GB, 4 GB RAM)","12,499.00",Croma
"Xiaomi Redmi Note 7 (Ruby Red, 32 GB, 3 GB RAM)","10,499.00",Croma
"Xiaomi Redmi Note 7 (Sapphire Blue, 32 GB, 3 GB RAM)","10,499.00",Croma
"Xiaomi Redmi Note 6 Pro (Black, 64 GB, 6 GB RAM)","14,499.00",Croma
"Xiaomi Redmi Note 6 Pro (Black, 64 GB, 4 GB RAM)","12,499.00",Croma
"Xiaomi Redmi Note 5 Pro (Black, 64 GB, 4 GB RAM)","9,994.00",Croma
"Xiaomi Redmi Note 5 Pro (Blue, 64 GB, 6 GB RAM)","12,499.00",Croma
"Xiaomi Redmi 7 (Eclipse Black, 32 GB, 3 GB RAM)","9,299.00",Croma
"Xiaomi Redmi 7 (Lunar Red, 32 GB, 2 GB RAM)","8,299.00",Croma
"Xiaomi Redmi 7 (Comet Blue, 32 GB, 2 GB RAM)","8,299.00",Croma
"Xiaomi Redmi 7 (Eclipse Black, 32 GB, 2 GB RAM)","8,299.00",Croma
"Xiaomi Redmi Y3 (Elegant Blue, 32 GB, 3 GB RAM)","10,499.00",Croma
"Xiaomi Redmi Y3 (Prime Black, 32 GB, 3 GB RAM)","10,499.00",Croma
"Xiaomi Redmi Go (Blue, 8 GB, 1 GB RAM)","4,699.00",Croma
"Xiaomi Redmi Go (Black, 8 GB, 1 GB RAM)","4,699.00",Croma
Redmi Note 7 (3GB + 32GB) Onyx Black,"10,499.00",Croma
Xiaomi Mi Band 3 (Black),"1,999.00",Croma
"Xiaomi Redmi 6 (Blue, 64 GB, 3 GB RAM)","7,799.00",Croma
