Phone Model,Price,Website
"Sony Xperia XZ Dual (Platinum, 64 GB)","40,990",Flipkart
"Sony Xperia L2 Dual (Gold, 32 GB)","14,990",Flipkart
"Sony Xperia XZ2 (Liquid Black, 64 GB)","72,990",Flipkart
Sony Micro Vault Tiny 32 GB Pen Drive,399,Flipkart
"Sony Xperia XA1 (Gold, 32 GB)","14,990",Flipkart
"Sony Xperia XA Ultra Dual (Graphite Black, 16 GB)","24,990",Flipkart
"Sony Xperia XZ Premium Dual (Luminous Chrome, 64 GB)","39,990",Flipkart
"Sony Xperia Z3+ (White, 32 GB)","55,990",Flipkart
"Sony Xperia XZ Dual (Mineral Black, 64 GB)","39,990",Flipkart
"Sony Xperia XA Ultra Dual (White, 16 GB)","22,990",Flipkart
"Sony Xperia Z3 (White, 16 GB)","51,000",Flipkart
Sony USM32BA2//USM32BA2/S IN 32 OTG Drive,549,Flipkart
Sony USM32GR/B3 IN 31302148 32 GB Pen Drive,385,Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
Sony W622F 80cm (32 inch) HD Ready LED Smart TV,"24,999",Flipkart
Sony XB10 10 W Portable Bluetooth  Speaker,"3,036",Flipkart
Sony 4.8 amp Turbo Car Charger,549,Flipkart
Sony R202F 80cm (32 inch) HD Ready LED TV,"18,990",Flipkart
Sony 310AP Wired Headset with Mic,999,Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
Sony 310AP Wired Headset with Mic,"1,099",Flipkart
Sony W662F 108cm (43 inch) Full HD LED Smart TV,"43,999",Flipkart
Sony EX14AP Wired Headset with Mic,649,Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
Sony USM16BA2 16GB USB 3.1 OTG Pendrive Pack of 1,Rs.  599,Snapdeal
Sony MH750 In Ear Wired Earphones With Mic,Rs.  598,Snapdeal
Sony MDR-ZX110A Headphones Without Mic (White),Rs.  681,Snapdeal
Sony MDR-EX150AP In Ear Wired Earphones With Mic Black,"Rs.  1,099",Snapdeal
Sony WI-C300 Blue In Ear Wireless Earphones With Mic,"Rs.  2,685",Snapdeal
Sony ZX110A Over Ear Wired Headphones Without Mic,Rs.  788,Snapdeal
Sony MDR-EX15AP In Ear Wired Earphones With Mic,Rs.  650,Snapdeal
Sony MDR-XB450 On-Ear Extra Bass(XB) Headphones (Red),"Rs.  1,599",Snapdeal
Sony MH750 In Ear Wired Earphones With Mic,Rs.  599,Snapdeal
Sony MDR-AS410AP In-Ear Active Sports Headphones with Mic (Black),"Rs.  1,790",Snapdeal
Sony MDR-EX15AP In Ear Wired Earphones With Mic,Rs.  650,Snapdeal
Sony MDR-ZX110A On-Ear Street Style Headphones (White) Without Mic,Rs.  699,Snapdeal
Sony ZX110A Over Ear Wired Headphones Without Mic,"Rs.  1,100",Snapdeal
Sony MDR-ZX110 Overhead Headphones - Black,"Rs.  1,100",Snapdeal
Sony  MDR-AS210 Open-Ear Active Sports Headphones (Black) Earbuds Ear buds,Rs.  799,Snapdeal
Sony MDR-XB650BT On-Ear Extra Bass(XB) Headphones with Bluetooth & NFC (Black),"Rs.  6,299",Snapdeal
Sony MDR-EX150AP1 In-Ear Headphones with Mic (Special Black),"Rs.  1,099",Snapdeal
Sony MDR-AS210APBQIN Open-Ear Active Sports Headphones (Blue),Rs.  790,Snapdeal
Sony MDR-ZX110 On Ear Wired Headphones Without Mic,"Rs.  1,100",Snapdeal
Sony MDR-EX15AP Headphones,Rs.  890,Snapdeal
"Sony Extra Bass Wireless Headphones (WH-XB700, Blue)","8,990.00",Croma
"Sony Extra Bass Wireless Headphones (WH-XB700, Black)","8,990.00",Croma
"Sony 80 cm (32 inch) Full HD LED Smart TV (KLV-32W672G, Black)","32,990.00",Croma
"Sony 80 cm (32 inch) HD Ready LED Smart TV (KLV-32W622G, Black)","26,990.00",Croma
"Sony Digital SLR Camera Kit with Lens (ILCE-A6400M, Black)","102,990.00",Croma
Sony DSLR Camera Body (ILCE-A6400),"73,990.00",Croma
"Sony Qi Wireless Charging Pad (CP-WP1, White)","2,990.00",Croma
Sony PS4 1TB Slim Console + (Free Game: FIFA19),"29,990.00",Croma
Sony SEL24F14GM FE 2.4 cm F1.4 GM Lens (Black),"127,990.00",Croma
Sony ILCE-7M3 Full-Frame Digital-SLR Camera Body (Black),"149,390.00",Croma
Sony ILCE-6500M 25.0 MP Digital-SLR Camera (Black),"111,590.00",Croma
Sony SEL1635Z FE 1.6-3.5 cm F4 ZA OSS Lens (Black),"86,990.00",Croma
Sony SEL50F18 E 5.0 cm F1.8 OSS Lens (Black),"21,990.00",Croma
Sony SEL16F28 E 1.6 cm F2.8 Lens (Silver),"9,990.00",Croma
Sony SRS-XB01 Extra Bass Portable Bluetooth Speaker (Red),"1,999.00",Croma
Sony SRS-XB01 Extra Bass Portable Bluetooth Speaker (Blue),"1,999.00",Croma
Sony SRS-XB01 Extra Bass Portable Bluetooth Speaker (Black),"1,999.00",Croma
Sony SRS-XB01 Extra Bass Portable Bluetooth Speaker (Green),"1,999.00",Croma
Sony WH-1000XM3 Wireless Noise Cancelling Headphones (Black),"29,990.00",Croma
Sony SEL28F20 FE 2.8 cm F2 Lens (Black),"30,990.00",Croma
Sony WH-L600 Digital Surround Wireless Headphones,"19,990.00",Croma
Sony MDR-XB450AP Extra Bass Headphones,"2,490.00",Croma
Sony WH-CH400 Bluetooth Headphones,"4,990.00",Croma
Sony SRS-XB30 Extra Bass Portable Bluetooth Speaker,"12,990.00",Croma
