Phone Model,Price,Website
"Sony Xperia XZ Dual (Platinum, 64 GB)","40,990",Flipkart
"Sony Xperia XA1 Plus (Blue, 32 GB)","25,990",Flipkart
"Sony Xperia XA1 (Gold, 32 GB)","14,990",Flipkart
Sony Micro Vault Tiny 32 GB Pen Drive,399,Flipkart
"Sony Xperia XZ Dual (Mineral Black, 64 GB)","39,990",Flipkart
"Sony Xperia L2 Dual (Gold, 32 GB)","14,990",Flipkart
"Sony Xperia XZ2 (Liquid Black, 64 GB)","72,990",Flipkart
"Sony Xperia XZ Premium Dual (Luminous Chrome, 64 GB)","39,990",Flipkart
"Sony Xperia XA Ultra Dual (Graphite Black, 16 GB)","24,990",Flipkart
"Sony Xperia Z3+ (White, 32 GB)","55,990",Flipkart
"Sony Xperia Z3 (White, 16 GB)","51,000",Flipkart
"Sony Xperia XA Ultra Dual (White, 16 GB)","22,990",Flipkart
Sony USM32BA2//USM32BA2/S IN 32 OTG Drive,549,Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
Sony USM32GR/B3 IN 31302148 32 GB Pen Drive,385,Flipkart
Sony SR626SW 1.55v Watch Battery 10-piece 10-piece Watch Repair Kit,145,Flipkart
Sony XB10 10 W Portable Bluetooth  Speaker,"3,036",Flipkart
Sony 4.8 amp Turbo Car Charger,549,Flipkart
Sony ICF-P36 Compact Portable Radio FM Radio,"1,680",Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
Sony 310AP Wired Headset with Mic,999,Flipkart
Sony XB55AP Wired Headset with Mic,"1,830",Flipkart
Sony R202F 80cm (32 inch) HD Ready LED TV,"18,990",Flipkart
Sony SRS-XB12 10 W Bluetooth  Speaker,"3,990",Flipkart
