Hotel Name,Hotel Review Page,Hotel Review
Holiday Inn Resort Goa,https://www.tripadvisor.in/Hotel_Review-g775971-d307514-Reviews-Holiday_Inn_Resort_Goa-Cavelossim_South_Goa_District_Goa.html,"['This is my first visit in this property, had amazing stay. We will visit again. The staff is just amazing. Had an amazing stay. My family and friends had the best stay. The food was just mouth watering. Best place.']"
Holiday Inn Resort Goa,https://www.tripadvisor.in/Hotel_Review-g775971-d307514-Reviews-Holiday_Inn_Resort_Goa-Cavelossim_South_Goa_District_Goa.html,['Was a very great stay. The services provided were remarkable. The rooms had all the facilities.the room service was very efficient. The staff were extremely courteous. The resort also has a direct access to the beach. If someone wants the best of everything please do visit this\\u2026']
Holiday Inn Resort Goa,https://www.tripadvisor.in/Hotel_Review-g775971-d307514-Reviews-Holiday_Inn_Resort_Goa-Cavelossim_South_Goa_District_Goa.html,"['I cannot forget lovely time spent with my friends at holiday Inn Resort. It has very big coast line than they also have 3resturants which serves amazing food,they also have a very good staf. I had a really  good time there.']"
Holiday Inn Resort Goa,https://www.tripadvisor.in/Hotel_Review-g775971-d307514-Reviews-Holiday_Inn_Resort_Goa-Cavelossim_South_Goa_District_Goa.html,"['We loved the property, the best and nice stay I had. We just loved it. The food ND the service was excellent. We will definitely come again. Now this resort is confirmed. We really had an amazing stay.']"
Holiday Inn Resort Goa,https://www.tripadvisor.in/Hotel_Review-g775971-d307514-Reviews-Holiday_Inn_Resort_Goa-Cavelossim_South_Goa_District_Goa.html,"['Being with my friends in the holiday Inn Resort was so fun enjoyed every moment as they have a very huge property with three restaurant,spacious rooms,gym,wonderful spa. I wish to visit this property again.']"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,"['Nice hotel for a family stay with two swimming pools , kids zone and awesome buffet breakfast and dinner options . Easy access to beach (10 mins) or you could avail complementary drop in car to tivoi beach . Close proximity to calangute and baga beach with good food options\\u2026']"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,['Good hotel for stay with friends and family also great price good food service is also good clean swimming pool big space in lobby area every room have balcony room size is not big but bed are comfort bathroom is average size']
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,"['Awesome Hotel with amazing hospitality. Staff is well trained and courteous.  Enjoyed the stay  Front desk staff are very helpful especially buddhadev,himaanshu  he is so helpful, good person, keep it up  Over all good@@']"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,"['Great property, well maintained and staff are all customer centric. Good option to stay when traveling with Family or friends. Food in their restaurant was awesome.  Great room cleaning by Himanshu,front desk staff are very nice especially buddhadev;!!!  Over all well!!!']"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,"[""We have been here since last 4 days, the hotel is wonderful will almost all amenities. Lovely food, good size swimming pool. I have never seen hotel so friendly to children's. They offer free lunch and dinner to children below 12 years. Rates are reasonable and food quality is\\u2026""]"
Resort Rio,https://www.tripadvisor.in/Hotel_Review-g312680-d1758214-Reviews-Resort_Rio-Arpora_North_Goa_District_Goa.html,"[""I am staying at rio resort with kfpl group .We have displayed our product in their banquet hall for sale . It's a nice hotel to stay with family also . I am enjoying my stay at rio. Food is very tasty  staff the at property Is helpful.""]"
Resort Rio,https://www.tripadvisor.in/Hotel_Review-g312680-d1758214-Reviews-Resort_Rio-Arpora_North_Goa_District_Goa.html,['Booked rio resort from online and we got a very good deal .We stayed in the main building of resort rio .Rooms are too big and specious. Housekeeping does a good job. Breakfast was too good and we loved the variety .Special thanks to reception team for all their help .']
Resort Rio,https://www.tripadvisor.in/Hotel_Review-g312680-d1758214-Reviews-Resort_Rio-Arpora_North_Goa_District_Goa.html,['Excellent hospitality staff was very co operative on toe and among them Mr.Alush sir manager was very suportive     and hotel was neat n clean..Alush helped me a lot n made my bday memorable..thanx Mr.Alush Sir']
