Hotel Name,Hotel Review Page,Guest Name,Hotel Review
Hotel Name,Hotel Review Page,Guest Name,Hotel Review
Hotel Name,Hotel Review Page,Guest Name,Hotel Review
Santana Beach Resort,https://www.tripadvisor.in/Hotel_Review-g297605-d651438-Reviews-or0-Santana_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,Manasvi Shah,It's a beautiful place to be the staff Maria di and kartik are so sweet and helping such happy faces to see every morning. You approach anytime and they will be willing helping you with anything possible.  Loved it \xe2\x9d\xa4
Santana Beach Resort,https://www.tripadvisor.in/Hotel_Review-g297605-d651438-Reviews-or0-Santana_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,Natalie,"Good stay, the hotel staff are friendly. The breakfast though good catered more for local clientele .No complaints about that but considering Goa is such an international destination maybe some international fare would have been more appreciative. Overall the food in the\u2026"
Santana Beach Resort,https://www.tripadvisor.in/Hotel_Review-g297605-d651438-Reviews-or0-Santana_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,Chaitanya K,Awesome stay.. near to very clean and silent beach...clean rooms..nice swimming pool enjoyed by my 2 year kid...surrounded by different trees..good breakfast...only one issue is parking which you have to park your vehicle far away from your room. (Backside of resort) 
Santana Beach Resort,https://www.tripadvisor.in/Hotel_Review-g297605-d651438-Reviews-or0-Santana_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,inndia8,"An ideal place for a short break ... relaxing, restful ... falling in love with SANTANA: excellent rooms combined with 'service par excellance' ... a well spread buffet breakfast ... an even better clear blue water swimming pool with the beach at a throw's distance and a\u2026"
Santana Beach Resort,https://www.tripadvisor.in/Hotel_Review-g297605-d651438-Reviews-or0-Santana_Beach_Resort-Candolim_Bardez_North_Goa_District_Goa.html,YashMayekar,"We were a group of 6 families and opted for equal number of rooms. To start with the check-in process, it was smooth and fast with fruit punch as welcome drink. The rooms provided were in a single block and were spacious enough with a decent size double bed, sofa cum bed,a\u2026"
Mayfair Hideaway Spa Resort,https://www.tripadvisor.in/Hotel_Review-g15149265-d2041908-Reviews-or0-Mayfair_Hideaway_Spa_Resort-Quitol_Canaguinim_South_Goa_District_Goa.html,Maltesh Pawar,"Great location. Very good food. Pool & Beach view is awesome.  Very good rooms.Very peaceful and calm location. Its about 50kms from Panjim. So if you are planning for this resort, go to resort first and then head for site seeing later to Panjim."
Mayfair Hideaway Spa Resort,https://www.tripadvisor.in/Hotel_Review-g15149265-d2041908-Reviews-or0-Mayfair_Hideaway_Spa_Resort-Quitol_Canaguinim_South_Goa_District_Goa.html,Nina B,"Tucked away in an obscure yet beautiful part of south Goa, this resort is a true 'hideaway'. The peace & quiet of the resort coupled with their excellent well-maintained facilities made this a very memorable Goa experience. Food served here is fantastic (the ajwaini fish tikka\u2026"
Mayfair Hideaway Spa Resort,https://www.tripadvisor.in/Hotel_Review-g15149265-d2041908-Reviews-or0-Mayfair_Hideaway_Spa_Resort-Quitol_Canaguinim_South_Goa_District_Goa.html,varaprasad,"location is very bad but inside the resort..... great. excellent ambiance, great food and awesome experience. good hospitality not the best. rooms are spacious, elegant and simply great. nice experience. think it is the least rated property among mayfair."
Mayfair Hideaway Spa Resort,https://www.tripadvisor.in/Hotel_Review-g15149265-d2041908-Reviews-or0-Mayfair_Hideaway_Spa_Resort-Quitol_Canaguinim_South_Goa_District_Goa.html,Greg S,"This is situated on the river and is a lovely place to get away. The food is good, the staff attentive and the pool is nice, right on the river's edge though very small and if there are children about, it is not very relaxing. Still, a pleasant place to visit."
Mayfair Hideaway Spa Resort,https://www.tripadvisor.in/Hotel_Review-g15149265-d2041908-Reviews-or0-Mayfair_Hideaway_Spa_Resort-Quitol_Canaguinim_South_Goa_District_Goa.html,Happyguest1210,This boutique resort tucked away in the tiny fishing village of Betul in South Goa makes for an ideal getaway from the regular noisy and cluttered beaches of North Goa. The resort is located on the banks of river Sal and has well appointed guestrooms with all modern amenities.\u2026
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-or0-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,Rajesh D,"Nice hotel for a family stay with two swimming pools , kids zone and awesome buffet breakfast and dinner options . Easy access to beach (10 mins) or you could avail complementary drop in car to tivoi beach . Close proximity to calangute and baga beach with good food options\u2026"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-or0-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,HarishKrishnani,Good hotel for stay with friends and family also great price good food service is also good clean swimming pool big space in lobby area every room have balcony room size is not big but bed are comfort bathroom is average size
