Phone Model,Price
"Redmi Note 7 Pro (Space Black, 64 GB)","Rs.13,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","Rs.13,999"
"Redmi Note 7S (Sapphire Blue, 32 GB)","Rs.10,999"
"Vivo V15 (Frozen Black, 64 GB)","Rs.19,990"
"Realme 3 (Dynamic Black, 64 GB)","Rs.10,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","Rs.13,999"
"Redmi Note 7S (Onyx Black, 32 GB)","Rs.10,999"
"Redmi Note 7 Pro (Space Black, 128 GB)","Rs.16,999"
"Realme 3 Pro (Lightning Purple, 64 GB)","Rs.15,999"
"Redmi Note 7S (Ruby Red, 32 GB)","Rs.10,999"
"Redmi 6 (Black, 64 GB)","Rs.7,499"
"Realme 3 Pro (Lightning Purple, 128 GB)","Rs.16,999"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","Rs.16,999"
"Honor 8C (Blue, 64 GB)","Rs.13,849"
"Redmi 6 (Rose Gold, 64 GB)","Rs.7,499"
"Redmi Go (Blue, 16 GB)","Rs.4,799"
"Realme 3 Pro (Nitro Blue, 128 GB)","Rs.16,999"
"Redmi Note 7 Pro (Nebula Red, 128 GB)","Rs.16,999"
"Redmi 6 (Blue, 64 GB)","Rs.7,499"
Niamia CAD 2 Combo of Two Mobiles,Rs.999
"OPPO A3s (Purple, 64 GB)","Rs.9,990"
"Infinix Smart 3 Plus (Midnight Black, 32 GB)","Rs.6,999"
"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)","Rs.6,999"
Niamia CAD 2 Combo of Two Mobiles,Rs.999
